    # Energy          Ge           H
   -20.17059     0.00000     0.00000
   -20.15859     0.00000     0.00000
   -20.14559     0.00000     0.00000
   -20.13259     0.00000     0.00000
   -20.12059     0.00000     0.00000
   -20.10759     0.00000     0.00000
   -20.09559     0.00000     0.00000
   -20.08259     0.00000     0.00000
   -20.07059     0.00000     0.00000
   -20.05759     0.00000     0.00000
   -20.04459     0.00000     0.00000
   -20.03259     0.00000     0.00000
   -20.01959     0.00000     0.00000
   -20.00759     0.00000     0.00000
   -19.99459     0.00000     0.00000
   -19.98159     0.00000     0.00000
   -19.96959     0.00000     0.00000
   -19.95659     0.00000     0.00000
   -19.94459     0.00000     0.00000
   -19.93159     0.00000     0.00000
   -19.91959     0.00000     0.00000
   -19.90659     0.00000     0.00000
   -19.89359     0.00000     0.00000
   -19.88159     0.00000     0.00000
   -19.86859     0.00000     0.00000
   -19.85659     0.00000     0.00000
   -19.84359     0.00000     0.00000
   -19.83159     0.00000     0.00000
   -19.81859     0.00000     0.00000
   -19.80559     0.00000     0.00000
   -19.79359     0.00000     0.00000
   -19.78059     0.00000     0.00000
   -19.76859     0.00000     0.00000
   -19.75559     0.00000     0.00000
   -19.74259     0.00000     0.00000
   -19.73059     0.00000     0.00000
   -19.71759     0.00000     0.00000
   -19.70559     0.00000     0.00000
   -19.69259     0.00000     0.00000
   -19.68059     0.00000     0.00000
   -19.66759     0.00000     0.00000
   -19.65459     0.00000     0.00000
   -19.64259     0.00000     0.00000
   -19.62959     0.00000     0.00000
   -19.61759     0.00000     0.00000
   -19.60459     0.00000     0.00000
   -19.59159     0.00000     0.00000
   -19.57959     0.00000     0.00000
   -19.56659     0.00000     0.00000
   -19.55459     0.00000     0.00000
   -19.54159     0.00000     0.00000
   -19.52959     0.00000     0.00000
   -19.51659     0.00000     0.00000
   -19.50359     0.00000     0.00000
   -19.49159     0.00000     0.00000
   -19.47859     0.00000     0.00000
   -19.46659     0.00000     0.00000
   -19.45359     0.00000     0.00000
   -19.44059     0.00000     0.00000
   -19.42859     0.00000     0.00000
   -19.41559     0.00000     0.00000
   -19.40359     0.00000     0.00000
   -19.39059     0.00000     0.00000
   -19.37859     0.00000     0.00000
   -19.36559     0.00000     0.00000
   -19.35259     0.00000     0.00000
   -19.34059     0.00000     0.00000
   -19.32759     0.00000     0.00000
   -19.31559     0.00000     0.00000
   -19.30259     0.00000     0.00000
   -19.29059     0.00000     0.00000
   -19.27759     0.00000     0.00000
