# E_raw(eV)  DOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-2.809799999999999898e+01 4.123999999999999773e+02 -2.756859340999999830e+01 -3.301233997477950766e+01 -3.225945695176216788e+01 -2.313986819937089479e+01
-2.808599999999999852e+01 4.233000000000000114e+02 -2.755659340999999785e+01 -3.300033997477950720e+01 -3.224745695176216742e+01 -2.312786819937089433e+01
-2.807300000000000040e+01 4.260000000000000000e+02 -2.754359340999999972e+01 -3.298733997477950908e+01 -3.223445695176216930e+01 -2.311486819937089621e+01
-2.806099999999999994e+01 4.206999999999999886e+02 -2.753159340999999927e+01 -3.297533997477950862e+01 -3.222245695176216884e+01 -2.310286819937089575e+01
-2.804799999999999827e+01 4.108000000000000114e+02 -2.751859340999999759e+01 -3.296233997477950339e+01 -3.220945695176216361e+01 -2.308986819937089408e+01
-2.803500000000000014e+01 4.011000000000000227e+02 -2.750559340999999947e+01 -3.294933997477950527e+01 -3.219645695176216549e+01 -2.307686819937089595e+01
-2.802299999999999969e+01 3.963000000000000114e+02 -2.749359340999999901e+01 -3.293733997477950481e+01 -3.218445695176216503e+01 -2.306486819937089550e+01
-2.801000000000000156e+01 3.981000000000000227e+02 -2.748059341000000089e+01 -3.292433997477950669e+01 -3.217145695176216691e+01 -2.305186819937089737e+01
-2.799800000000000111e+01 4.055000000000000000e+02 -2.746859341000000043e+01 -3.291233997477950624e+01 -3.215945695176216645e+01 -2.303986819937089692e+01
-2.798499999999999943e+01 4.143000000000000114e+02 -2.745559340999999876e+01 -3.289933997477950811e+01 -3.214645695176216833e+01 -2.302686819937089524e+01
-2.797200000000000131e+01 4.198999999999999773e+02 -2.744259341000000063e+01 -3.288633997477950999e+01 -3.213345695176217021e+01 -2.301386819937089712e+01
-2.796000000000000085e+01 4.178000000000000114e+02 -2.743059341000000018e+01 -3.287433997477950953e+01 -3.212145695176216975e+01 -2.300186819937089666e+01
-2.794699999999999918e+01 4.056000000000000227e+02 -2.741759340999999850e+01 -3.286133997477950430e+01 -3.210845695176216452e+01 -2.298886819937089498e+01
-2.793499999999999872e+01 3.826999999999999886e+02 -2.740559340999999804e+01 -3.284933997477950385e+01 -3.209645695176216407e+01 -2.297686819937089453e+01
-2.792200000000000060e+01 3.505000000000000000e+02 -2.739259340999999992e+01 -3.283633997477950572e+01 -3.208345695176216594e+01 -2.296386819937089641e+01
-2.791000000000000014e+01 3.111000000000000227e+02 -2.738059340999999947e+01 -3.282433997477950527e+01 -3.207145695176216549e+01 -2.295186819937089595e+01
